year,country,region,income,population,lifeExpectancy
1900,Japan,East Asia & Pacific,1736.39,44103000,38.6
1901,Japan,East Asia & Pacific,1772.67,44662000,
1902,Japan,East Asia & Pacific,1655.54,45255000,
1903,Japan,East Asia & Pacific,1745.65,45841000,
1904,Japan,East Asia & Pacific,1735.69,46378000,
1905,Japan,East Asia & Pacific,1686.69,46829000,39.22
1906,Japan,East Asia & Pacific,1887.88,47227000,
1907,Japan,East Asia & Pacific,1924.86,47691000,
1908,Japan,East Asia & Pacific,1911.45,48260000,
1909,Japan,East Asia & Pacific,1881.91,48869000,
1910,Japan,East Asia & Pacific,1882.95,49518000,39.97
1911,Japan,East Asia & Pacific,1954.06,50215000,
1912,Japan,East Asia & Pacific,1991.34,50941000,
1913,Japan,East Asia & Pacific,1991.28,51672000,
1914,Japan,East Asia & Pacific,1901.22,52396000,
1915,Japan,East Asia & Pacific,2045.23,53124000,40.9
1916,Japan,East Asia & Pacific,2326.89,53815000,
1917,Japan,East Asia & Pacific,2372.82,54437000,
1918,Japan,East Asia & Pacific,2373.05,54886000,
1919,Japan,East Asia & Pacific,2593.96,55253000,
1920,Japan,East Asia & Pacific,2402.74,55818000,42.04
1921,Japan,East Asia & Pacific,2629.72,56490000,
1922,Japan,East Asia & Pacific,2584.64,57209000,42.62
1923,Japan,East Asia & Pacific,2549.04,57937000,
1924,Japan,East Asia & Pacific,2582.09,58686000,
1925,Japan,East Asia & Pacific,2645.71,59522000,
1926,Japan,East Asia & Pacific,2621.63,60490000,
1927,Japan,East Asia & Pacific,2614.09,61430000,45.66
1928,Japan,East Asia & Pacific,2780.19,62361000,
1929,Japan,East Asia & Pacific,2821.34,63244000,
1930,Japan,East Asia & Pacific,2572.21,64203000,
1931,Japan,East Asia & Pacific,2549.2,65205000,
1932,Japan,East Asia & Pacific,2716.38,66189000,
1933,Japan,East Asia & Pacific,2933.51,67182000,
1934,Japan,East Asia & Pacific,2894.67,68090000,
1935,Japan,East Asia & Pacific,2919.61,69238000,48.24
1936,Japan,East Asia & Pacific,3090.28,70171000,
1937,Japan,East Asia & Pacific,3187.62,71278000,49
1938,Japan,East Asia & Pacific,3372.34,71879000,
1939,Japan,East Asia & Pacific,3877.35,72364000,
1940,Japan,East Asia & Pacific,3957.53,72967000,49
1941,Japan,East Asia & Pacific,3955.34,74005000,
1942,Japan,East Asia & Pacific,3880.32,75029000,48.5
1943,Japan,East Asia & Pacific,3885.01,76005000,46
1944,Japan,East Asia & Pacific,3661.06,77178000,40
1945,Japan,East Asia & Pacific,1853.44,76224000,30.54
1946,Japan,East Asia & Pacific,1988.5,77199000,46.5
1947,Japan,East Asia & Pacific,2121.68,78119000,51.75
1948,Japan,East Asia & Pacific,2375.5,80155000,56.89
1949,Japan,East Asia & Pacific,2478.13,81971000,57.76
1950,Japan,East Asia & Pacific,2644.59,83805000,59.3
1951,Japan,East Asia & Pacific,2926.69,85163848,60.99
1952,Japan,East Asia & Pacific,3216.96,86459025,63.03
1953,Japan,East Asia & Pacific,3406.85,87655163,63.37
1954,Japan,East Asia & Pacific,3554.9,88753892,64.61
1955,Japan,East Asia & Pacific,3814.97,89815060,65.77
1956,Japan,East Asia & Pacific,4058.84,90766211,65.63
1957,Japan,East Asia & Pacific,4317.69,91563009,65.5
1958,Japan,East Asia & Pacific,4528.39,92388772,67.12
1959,Japan,East Asia & Pacific,4893.31,93296566,67.51
1960,Japan,East Asia & Pacific,5488.81,94091638,67.8
1961,Japan,East Asia & Pacific,6094.42,94943293,68.45
1962,Japan,East Asia & Pacific,6576.65,95831757,68.73
1963,Japan,East Asia & Pacific,7061.48,96811940,69.81
1964,Japan,East Asia & Pacific,7803.68,97826267,70.28
1965,Japan,East Asia & Pacific,8170.01,98882534,70.33
1966,Japan,East Asia & Pacific,8957.28,99790308,71.14
1967,Japan,East Asia & Pacific,9847.79,100825279,71.43
1968,Japan,East Asia & Pacific,10992,101960672,71.75
1969,Japan,East Asia & Pacific,12218.48,103171831,71.98
1970,Japan,East Asia & Pacific,13374.86,104344973,72.07
1971,Japan,East Asia & Pacific,13824.24,105696786,72.89
1972,Japan,East Asia & Pacific,14778.79,107188273,73.42
1973,Japan,East Asia & Pacific,15742.88,108706797,73.48
1974,Japan,East Asia & Pacific,15344.57,110162302,73.91
1975,Japan,East Asia & Pacific,15618.93,111573116,74.41
1976,Japan,East Asia & Pacific,16066.67,112774841,74.81
1977,Japan,East Asia & Pacific,16610.38,113872473,75.38
1978,Japan,East Asia & Pacific,17327.76,114912911,75.7
1979,Japan,East Asia & Pacific,18123.89,115890431,76.21
1980,Japan,East Asia & Pacific,18488.26,116807309,76.19
1981,Japan,East Asia & Pacific,18938.11,117648092,76.6
1982,Japan,East Asia & Pacific,19384.11,118454974,77.11
1983,Japan,East Asia & Pacific,19698.72,119269949,77.14
1984,Japan,East Asia & Pacific,20339.95,120034697,77.54
1985,Japan,East Asia & Pacific,21109.16,120754335,77.84
1986,Japan,East Asia & Pacific,21588.49,121491913,78.26
1987,Japan,East Asia & Pacific,22375.94,122091325,78.67
