year,country,region,income,population,lifeExpectancy
1988,Japan,East Asia & Pacific,23661.04,122613000,78.58
1989,Japan,East Asia & Pacific,24704.53,123107500,79.01
1990,Japan,East Asia & Pacific,25870.14,123537399,79.04
1991,Japan,East Asia & Pacific,26648.77,123946268,79.31
1992,Japan,East Asia & Pacific,26824.9,124329269,79.36
1993,Japan,East Asia & Pacific,26818.24,124668019,79.5
1994,Japan,East Asia & Pacific,27037.83,125014050,79.91
1995,Japan,East Asia & Pacific,27509.08,125341354,79.76
1996,Japan,East Asia & Pacific,28385.16,125645311,80.46
1997,Japan,East Asia & Pacific,28816.58,125956499,80.69
1998,Japan,East Asia & Pacific,27904.68,126246096,80.77
1999,Japan,East Asia & Pacific,27809.6,126494403,80.75
2000,Japan,East Asia & Pacific,28559.6,126699784,81.35
2001,Japan,East Asia & Pacific,28569.05,126891645,81.7
2002,Japan,East Asia & Pacific,28604.59,127065841,82
2003,Japan,East Asia & Pacific,29073.61,127214499,82.07
2004,Japan,East Asia & Pacific,29742.05,127333002,82.36
2005,Japan,East Asia & Pacific,30290,127417244,82.27
2006,Japan,East Asia & Pacific,30909.15,127463611,82.68
2007,Japan,East Asia & Pacific,31636.71,127467972,82.87
2008,Japan,East Asia & Pacific,31275.13,127425722,82.81
2009,Japan,East Asia & Pacific,29680.68,127425722,82.98
